merchant_id,block_id,order_id,name,phone,street,description,address_id,is_urgent,is_fragile,status,width,length,height,weight,package_rate_id,shipping_cost,cod_cost
,,,Receiver name 0,1234567890,Street name 0,Books 0,4d669fa7-51df-484a-8f3c-856ebdd1b552,True,False,ORDERED,5.4,17.3,11.7,16.3,d5148aa8-105f-4fc4-a501-5a5e7d7d9ba8,,
,,,Receiver name 1,1234567891,Street name 1,Clothing 1,7f71d8f3-7dd6-4897-80c0-e125540bbf00,False,True,CANCELLED,6.5,16.2,5.8,11.6,d8665a87-bad0-4818-a9ba-2357e6b2b8f8,,
,,,Receiver name 2,1234567892,Street name 2,Clothing 2,7f71d8f3-7dd6-4897-80c0-e125540bbf00,False,True,MISSING,11.9,6.0,16.9,19.0,d8665a87-bad0-4818-a9ba-2357e6b2b8f8,,
,,,Receiver name 3,1234567893,Street name 3,Books 3,f712706e-9d1b-4ee5-86c6-c1abf09fd78a,True,True,DELIVERED,18.7,8.5,6.5,13.7,d5148aa8-105f-4fc4-a501-5a5e7d7d9ba8,,
,,,Receiver name 4,1234567894,Street name 4,Electronics 4,87e92104-b94e-4a50-9019-c60f06347d83,False,True,MISSING,13.5,7.9,8.7,8.1,d5148aa8-105f-4fc4-a501-5a5e7d7d9ba8,,
,,,Receiver name 5,1234567895,Street name 5,Electronics 5,4d669fa7-51df-484a-8f3c-856ebdd1b552,True,True,ORDERED,9.5,8.9,8.5,14.4,d5148aa8-105f-4fc4-a501-5a5e7d7d9ba8,,
,,,Receiver name 6,1234567896,Street name 6,Electronics 6,d8e982d8-01f0-4235-92af-7bd82fcedf76,False,False,DELIVERING,8.0,8.1,19.8,9.3,d5148aa8-105f-4fc4-a501-5a5e7d7d9ba8,,
,,,Receiver name 7,1234567897,Street name 7,Clothing 7,4d669fa7-51df-484a-8f3c-856ebdd1b552,True,True,MISSING,7.7,16.9,16.2,15.3,d5148aa8-105f-4fc4-a501-5a5e7d7d9ba8,,
,,,Receiver name 8,1234567898,Street name 8,Clothing 8,c668be4e-ad50-483f-a93a-1e342aa0b35c,True,False,CANCELLED,8.1,16.4,12.8,11.5,d5148aa8-105f-4fc4-a501-5a5e7d7d9ba8,,
,,,Receiver name 9,1234567899,Street name 9,Clothing 9,4d669fa7-51df-484a-8f3c-856ebdd1b552,True,True,MISSING,15.4,15.1,11.5,12.0,d5148aa8-105f-4fc4-a501-5a5e7d7d9ba8,,
,,,Receiver name 10,12345678910,Street name 10,Books 10,d8e982d8-01f0-4235-92af-7bd82fcedf76,True,True,MISSING,10.7,20.0,9.5,18.5,d5148aa8-105f-4fc4-a501-5a5e7d7d9ba8,,
,,,Receiver name 11,12345678911,Street name 11,Books 11,81a8f1fb-008b-418b-9d18-3f86e4e8004e,False,False,DELIVERED,11.3,16.6,14.4,16.1,d8665a87-bad0-4818-a9ba-2357e6b2b8f8,,
,,,Receiver name 12,12345678912,Street name 12,Clothing 12,650c39e1-6162-4290-be2d-8f604622bf52,False,True,DELIVERING,18.5,19.9,15.4,11.3,d8665a87-bad0-4818-a9ba-2357e6b2b8f8,,
,,,Receiver name 13,12345678913,Street name 13,Books 13,f712706e-9d1b-4ee5-86c6-c1abf09fd78a,True,False,CANCELLED,14.6,5.3,19.8,10.8,d8665a87-bad0-4818-a9ba-2357e6b2b8f8,,
,,,Receiver name 14,12345678914,Street name 14,Electronics 14,36687664-9b79-49f8-92ea-6b27bf9fa5b4,False,False,DELIVERING,5.1,18.5,9.0,13.0,5616afab-7a80-44aa-a4f3-3bae3e8ee21f,,
